"newly_explored","reduntantly_explored","tick"
7846.0,133114.0,1131.0
7868.0,133724.0,1136.0
7880.0,134339.0,1141.0
7924.0,134931.0,1146.0
7953.0,135537.0,1151.0
7978.0,136141.0,1156.0
8015.0,136722.0,1161.0
8058.0,137311.0,1166.0
8104.0,137906.0,1171.0
8168.0,138475.0,1176.0
8201.0,139079.0,1181.0
8207.0,139702.0,1186.0
8220.0,140326.0,1191.0
8229.0,140945.0,1196.0
