"newly_explored","reduntantly_explored","tick"
13.0,117.0,1.0
70.0,696.0,6.0
149.0,1251.0,11.0
244.0,1790.0,16.0
345.0,2334.0,21.0
453.0,2854.0,26.0
550.0,3364.0,31.0
662.0,3884.0,36.0
785.0,4377.0,41.0
899.0,4887.0,46.0
997.0,5391.0,51.0
1107.0,5900.0,56.0
1212.0,6401.0,61.0
1321.0,6904.0,66.0
1430.0,7410.0,71.0
1534.0,7911.0,76.0
1628.0,8442.0,81.0
1700.0,8991.0,86.0
1756.0,9562.0,91.0
1790.0,10153.0,96.0
1818.0,10739.0,101.0
1859.0,11308.0,106.0
1903.0,11879.0,111.0
1965.0,12420.0,116.0
2000.0,13004.0,121.0
2024.0,13612.0,126.0
2054.0,14210.0,131.0
2091.0,14792.0,136.0
2165.0,15355.0,141.0
2209.0,15932.0,146.0
2254.0,16502.0,151.0
2287.0,17094.0,156.0
2332.0,17684.0,161.0
2393.0,18255.0,166.0
2457.0,18822.0,171.0
2497.0,19413.0,176.0
2526.0,20007.0,181.0
2545.0,20621.0,186.0
2582.0,21219.0,191.0
2610.0,21816.0,196.0
2634.0,22419.0,201.0
2663.0,23031.0,206.0
2711.0,23621.0,211.0
2747.0,24213.0,216.0
2770.0,24794.0,221.0
2781.0,25365.0,226.0
2795.0,25965.0,231.0
2829.0,26529.0,236.0
2863.0,27077.0,241.0
2884.0,27664.0,246.0
2928.0,28244.0,251.0
2960.0,28828.0,256.0
3004.0,29414.0,261.0
3051.0,29984.0,266.0
3092.0,30578.0,271.0
3141.0,31147.0,276.0
3202.0,31717.0,281.0
3235.0,32312.0,286.0
3261.0,32899.0,291.0
3285.0,33494.0,296.0
3324.0,34046.0,301.0
3361.0,34588.0,306.0
3375.0,35162.0,311.0
3392.0,35757.0,316.0
3459.0,36298.0,321.0
3497.0,36885.0,326.0
3536.0,37456.0,331.0
3570.0,38036.0,336.0
3612.0,38621.0,341.0
3661.0,39176.0,346.0
3699.0,39740.0,351.0
3736.0,40321.0,356.0
3754.0,40903.0,361.0
3799.0,41488.0,366.0
3863.0,42055.0,371.0
3898.0,42644.0,376.0
3919.0,43249.0,381.0
3955.0,43841.0,386.0
4014.0,44412.0,391.0
4062.0,44971.0,396.0
4103.0,45559.0,401.0
4125.0,46170.0,406.0
4160.0,46771.0,411.0
4224.0,47348.0,416.0
4271.0,47932.0,421.0
4291.0,48543.0,426.0
4320.0,49141.0,431.0
4343.0,49739.0,436.0
4411.0,50286.0,441.0
4437.0,50905.0,446.0
4468.0,51481.0,451.0
4488.0,52062.0,456.0
4510.0,52674.0,461.0
4530.0,53272.0,466.0
4550.0,53878.0,471.0
4573.0,54492.0,476.0
4588.0,55106.0,481.0
4605.0,55707.0,486.0
4666.0,56261.0,491.0
4715.0,56832.0,496.0
4756.0,57413.0,501.0
4787.0,57988.0,506.0
4808.0,58591.0,511.0
4843.0,59183.0,516.0
4880.0,59752.0,521.0
4894.0,60328.0,526.0
4919.0,60917.0,531.0
4956.0,61499.0,536.0
5000.0,62063.0,541.0
5039.0,62626.0,546.0
5094.0,63177.0,551.0
5124.0,63755.0,556.0
5147.0,64362.0,561.0
5181.0,64955.0,566.0
5214.0,65539.0,571.0
5253.0,66130.0,576.0
5295.0,66705.0,581.0
5336.0,67291.0,586.0
5414.0,67854.0,591.0
5484.0,68425.0,596.0
5533.0,69011.0,601.0
5548.0,69621.0,606.0
5584.0,70210.0,611.0
5628.0,70789.0,616.0
5674.0,71385.0,621.0
5718.0,71975.0,626.0
5751.0,72560.0,631.0
5808.0,73115.0,636.0
5866.0,73689.0,641.0
5909.0,74284.0,646.0
5921.0,74893.0,651.0
5965.0,75479.0,656.0
6001.0,76061.0,661.0
6036.0,76661.0,666.0
6069.0,77238.0,671.0
6088.0,77847.0,676.0
6102.0,78462.0,681.0
6133.0,79058.0,686.0
6149.0,79642.0,691.0
6174.0,80195.0,696.0
6194.0,80778.0,701.0
6212.0,81367.0,706.0
6218.0,81972.0,711.0
6236.0,82587.0,716.0
6267.0,83182.0,721.0
6288.0,83797.0,726.0
6307.0,84415.0,731.0
6327.0,85020.0,736.0
6340.0,85622.0,741.0
6378.0,86215.0,746.0
6408.0,86820.0,751.0
6421.0,87414.0,756.0
6440.0,88012.0,761.0
6485.0,88596.0,766.0
6512.0,89190.0,771.0
6520.0,89805.0,776.0
6539.0,90422.0,781.0
6545.0,91061.0,786.0
6568.0,91668.0,791.0
6582.0,92287.0,796.0
6599.0,92893.0,801.0
6641.0,93485.0,806.0
6661.0,94091.0,811.0
6682.0,94702.0,816.0
6703.0,95313.0,821.0
6721.0,95921.0,826.0
6751.0,96521.0,831.0
6777.0,97125.0,836.0
6803.0,97733.0,841.0
6807.0,98358.0,846.0
6822.0,98972.0,851.0
6862.0,99565.0,856.0
6876.0,100188.0,861.0
6883.0,100821.0,866.0
6907.0,101425.0,871.0
6932.0,102028.0,876.0
